recipe_id,recipe_name,cuisine,category,spice_level,meal_type,is_vegetarian,is_vegan,is_gluten_free,is_halal,rating,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent,suitable_diabetes,suitable_hypertension,suitable_heart_disease,suitable_kidney_disease,suitable_acne,calorie_tier,compatible_omnivore,compatible_vegetarian,compatible_vegan,compatible_pescatarian,score_weight_loss,score_weight_gain,score_muscle_gain,score_maintain,cal_match_breakfast,cal_match_lunch,cal_match_dinner,cal_match_snack
RCP01000,Keema Matar,Pakistani,Main Course,Hot,Dinner,0,0,0,1,3.5,626.0,44.3,46.4,13.5,3.6,8.3,695.0,83.0,40,21,21,32,0,1,1,0,1,high,1,0,0,0,0.378,0.7604,0.8007,0.6727,0,1,0,0
RCP01001,Bonjan Salad,Afghan,Main Course,Mild,Lunch,0,0,0,1,4.4,422.0,41.4,34.0,27.9,8.9,6.7,672.0,62.0,26,23,26,21,1,1,0,0,0,medium,1,0,0,0,0.4996,0.6087,0.6551,0.9038,0,1,1,0
RCP01002,Club Sandwich,Western,Street Food,Mild,Lunch,0,0,1,0,4.2,458.0,18.5,29.8,22.9,4.3,5.1,416.0,39.0,11,12,6,35,1,1,0,1,0,medium,1,0,0,0,0.4196,0.4404,0.4467,0.5872,0,1,1,0
RCP01003,Pani Puri,Indian,Appetizers,Hot,Snack,0,0,0,1,4.7,140.0,17.8,14.4,14.1,4.2,3.5,555.0,39.0,10,13,24,31,1,1,1,1,1,very_low,1,0,0,0,0.6294,0.2358,0.258,0.3763,0,0,0,1
RCP01004,Kabuli Pulao,Afghan,Main Course,Very Hot,Dinner,0,0,1,1,3.8,361.0,49.7,29.6,14.2,7.5,2.9,715.0,71.0,39,4,33,10,1,1,0,0,1,medium,1,0,0,0,0.5843,0.6398,0.7033,0.8282,1,1,1,0
RCP01005,Fish Kofta,Afghan,Fish Dishes,Mild,Lunch,0,0,0,1,3.5,309.0,49.4,17.1,9.0,5.5,4.9,452.0,70.0,24,33,32,21,1,1,1,0,1,low,1,0,0,1,0.6015,0.6048,0.6706,0.7435,1,1,1,0
RCP01006,Grilled Salmon Afghan,Afghan,Fish Dishes,Hot,Dinner,0,0,0,1,4.3,218.0,35.6,20.9,9.9,3.2,5.6,849.0,65.0,39,46,5,40,1,0,0,0,1,low,1,0,0,1,0.5956,0.4329,0.4806,0.5813,1,0,0,1
RCP01007,Misti Paan,Bangladeshi,Desserts,Medium,Snack,1,1,0,1,3.9,264.0,2.4,33.4,16.1,2.8,24.1,123.0,33.0,21,5,8,37,0,1,1,1,0,low,1,1,1,1,0.5274,0.185,0.1749,0.27,1,0,1,1
RCP01008,Green Smoothie,Western,Beverages,Medium,Breakfast,1,0,0,0,3.7,193.0,7.2,38.0,2.6,1.4,30.0,130.0,8.0,32,30,27,30,0,1,1,1,0,very_low,1,1,0,1,0.6159,0.1806,0.1823,0.2357,1,0,0,1
RCP01009,Tandoori Bread,Afghan,Bread,Mild,Breakfast,1,0,0,1,4.5,278.0,6.0,52.9,7.9,4.1,5.2,325.0,36.0,16,20,35,24,1,1,1,1,1,low,1,1,0,1,0.5956,0.2238,0.2189,0.3478,1,0,1,1
RCP01010,Lassi,Bangladeshi,Beverages,Hot,Breakfast,1,0,0,1,3.8,110.0,9.5,31.0,3.9,0.0,5.8,161.0,10.0,3,4,4,39,1,1,1,1,1,very_low,1,1,0,1,0.6216,0.1479,0.1579,0.1683,0,0,0,1
RCP01011,Deconstructed Biryani,Fusion,Modern Fusion,Very Hot,Dinner,0,0,0,0,4.8,248.0,20.2,27.6,24.9,8.4,4.4,344.0,64.0,15,48,30,18,1,1,0,0,0,low,1,0,0,0,0.5946,0.3233,0.3437,0.5773,1,0,0,1
RCP01012,Sugarcane Juice,Pakistani,Beverages,Hot,Snack,1,0,0,1,4.0,172.0,6.4,35.0,7.5,1.7,30.7,77.0,19.0,9,43,24,35,0,1,1,1,0,very_low,1,1,0,1,0.603,0.1608,0.1623,0.2212,1,0,0,1
